portal_id	gwas_source_category	legacy_phenotype_id	phenotype_name	legacy_trait_group	trait_group	trait_type	pigean_id
PORTAL:0004600	gcat_trait	gcat_trait_inactive_pancreatic_lipaserelated_protein_1_measurement	inactive pancreatic lipase-related protein 1 measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004601	gcat_trait	gcat_trait_insulin_receptor_measurement	insulin receptor measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004602	gcat_trait	gcat_trait_insulinlike_growth_factorbinding_protein_2_measurement	insulin-like growth factor-binding protein 2 measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004603	gcat_trait	gcat_trait_insulinlike_growth_factorbinding_protein_7_measurement	insulin-like growth factor-binding protein 7 measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004604	gcat_trait	gcat_trait_integrin_alpha5_measurement	integrin alpha-5 measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004605	gcat_trait	gcat_trait_integrin_beta7_measurement	integrin beta-7 measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004606	gcat_trait	gcat_trait_interalphatrypsin_inhibitor_heavy_chain_H5_measurement	inter-alpha-trypsin inhibitor heavy chain H5 measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004607	gcat_trait	gcat_trait_interalphatrypsin_inhibitor_heavy_chain_h4_measurement	inter-alpha-trypsin inhibitor heavy chain h4 measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004608	gcat_trait	gcat_trait_intercellular_adhesion_molecule_2_measurement	intercellular adhesion molecule 2 measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004609	gcat_trait	gcat_trait_intercellular_adhesion_molecule_5_measurement	intercellular adhesion molecule 5 measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004610	gcat_trait	gcat_trait_interstitial_collagenase_measurement	interstitial collagenase measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004611	gcat_trait	gcat_trait_intestinaltype_alkaline_phosphatase_measurement	intestinal-type alkaline phosphatase measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004612	gcat_trait	gcat_trait_isoleucine_measurement	isoleucine measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004613	gcat_trait	gcat_trait_junctional_adhesion_molecule_B_measurement	junctional adhesion molecule B measurement	PROTEIN_BIOLOGY	protein_biology	measurement	
